,Month,Temperatur Minimum,Temperatur Maximum,Temperatur Rata-Rata,Kelembaban Rata-Rata,Curah Hujan,Lama Penyinaran (jam),Kecepatan Angin Maks,Arah Angin Saat Maks.Speed,Kec Angin Rata-Rata
0,1,22.72,30.42,25.69,86.34,11.73,3.53,5.13,252.55,1.36
1,2,22.64,30.29,25.57,87.29,15.21,3.34,5.17,253.31,1.44
2,3,22.71,31.66,25.98,85.76,13.92,4.61,5.19,263.48,1.39
3,4,23.09,32.25,26.48,84.97,17.62,5.59,5.09,248.45,1.42
4,5,23.24,32.57,26.8,83.5,18.03,6.28,4.83,232.73,1.43
5,6,22.69,32.16,26.32,83.06,14.11,6.53,4.45,232.16,1.38
6,7,22.06,32.14,26.09,79.87,10.92,7.06,4.54,227.7,1.47
7,8,21.95,32.61,26.13,78.28,16.29,7.26,5.09,235.9,1.67
8,9,22.01,32.99,26.39,77.05,12.34,7.21,5.27,215.62,1.73
9,10,22.54,33.07,26.65,79.89,17.33,6.3,5.49,225.69,1.58
10,11,22.96,32.32,26.47,83.32,19.76,5.11,6.0,239.55,1.6
11,12,22.75,31.37,26.15,84.01,13.14,4.09,5.43,249.02,1.58
